###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58403.87507,0.087320602,6.646722457,0.077781287
58405.0966,0.077771991,5.599444699,0.091149688
58406.02454,0.078119213,5.055314311,0.11511047
58406.802,0.096521991,4.592388522,0.07314289
58408.08036,0.078640046,4.523896379,0.09051849
58408.84024,0.043570602,3.684146799,0.118746698
58408.98362,0.034195602,4.388265186,0.207054064
58409.10819,0.046001157,3.507278737,0.094571094
58410.93725,0.067876157,4.166349027,0.173591736
58412.98931,0.002771991,2.307700816,0.194938013
